2017-06-05 15:19:05.413 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.sibat.SmartPoliceApplicationTests]: SmartPoliceApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-06-05 15:19:05.503 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.sibat.SmartPoliceApplication for test class com.sibat.SmartPoliceApplicationTests
2017-06-05 15:19:05.510 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-06-05 15:19:05.528 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@cd705f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1225652, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@14f0d9c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@400542, org.springframework.test.context.transaction.TransactionalTestExecutionListener@180cfdd, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@b85f9, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1355449, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1353778, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@28ffa4, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@ae9b55, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1700915, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1de60b4]
2017-06-05 15:19:05.533 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.sibat.SmartPoliceApplicationTests], using SpringBootContextLoader
2017-06-05 15:19:05.534 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.sibat.SmartPoliceApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-06-05 15:19:05.534 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.sibat.SmartPoliceApplicationTests]: SmartPoliceApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-06-05 15:19:05.537 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.sibat.SmartPoliceApplication for test class com.sibat.SmartPoliceApplicationTests
2017-06-05 15:19:05.541 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-06-05 15:19:05.544 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@e6fdee, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@80d78a, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@150f9e, org.springframework.test.context.support.DirtiesContextTestExecutionListener@451d4d, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1a98a66, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1ff3e9e, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1dcaa40, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1c17b83, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@826e7, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@eff876, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@dbdac1, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@20b53a]
